Artist,Number of Searches
Ol' Dirty Bastard,3330000
Candyman,9560000
Will Smith,2200000000
Wyclef Jean,4870000
Digable Planets,464000
TLC,112000000
Ms. Lauryn Hill,6860000
DJ Jazzy Jeff & The Fresh Prince,7200000
Pras,14200000
Kris Kross,4790000
Blackstreet,6020000
Big Pun,148000000
Skee-Lo,959000
Warren G,351000000
Heavy D & The Boyz,1300000000
Method Man,1660000000
Ice Cube,254000000
Da Brat,71300000
Erykah Badu,6060000
Snoop Dogg,75600000
Red Hot Chili Peppers,140000000
Incubus,16300000
Natalie Imbruglia,3250000
Oasis,369000000
Tracy Chapman,23900000
Radiohead,27200000
Shawn Colvin,3040000
Mazzy Star,3790000
Jeff Buckley,20500000
The Verve,43100000
Train,2280000000
Third Eye Blind,93900000
The Goo Goo Dolls,21300000
Counting Crows,7250000
Green Day,11940000000
Jewel,586000000
Radiohead,27200000
The Cranberries,47000000
No Doubt,487000000
Eagle-Eye Cherry,22400000
Bush,489000000
The Verve Pipe,2410000
Beck,224000000
The Smashing Pumpkins,15100000
R.E.M.,252000000
Matchbox Twenty,4000000
Green Day,11940000000
Everlast,86000000
Stone Temple Pilots,12800000
Foo Fighters,49700000
The Goo Goo Dolls,21300000
Counting Crows,7250000
Seal,1390000000
Extreme,1320000000
Alanis Morissette,14500000
blink-182,36700000
Soundgarden,13300000
The Goo Goo Dolls,21300000
Dave Matthews Band,17500000
Sublime,185000000
TLC,112000000
Blackstreet,6020000
Aerosmith,27800000
Tal Bachman,703000
Alison Krauss & Union Station,8440000
Paula Cole,61500000
Marcy Playground,1950000
Pixies,check
The Cardigans,129000000
Natalie Merchant,8520000
Radiohead,27200000
Pearl Jam,113000000
Incubus,16300000
3 Doors Down,787000000
Sister Hazel,30400000
Third Eye Blind,93400000
Sinéad O'Connor,11400000
Jewel,586000000
Paula Cole,61500000
"10,000 Maniacs",1650000
Ani DiFranco,2510000
Aimee Mann,10600000
Alanis Morissette,14500000
The Wallflowers,5670000
Bob Dylan,154000000
Sheryl Crow,15500000
Faith Hill,252000000
The Black Crowes,5750000
Dixie Chicks,8080000
Billy Bragg,7580000
Gillian Welch,7510000
Neutral Milk Hotel,13000000
Third Eye Blind,93400000
Counting Crows,7250000
Spin Doctors,62300000
Semisonic,575000
Eagle-Eye Cherry,22400000
Matchbox Twenty,4000000
The Wallflowers,5670000
Gin Blossoms,6330000
The Proclaimers,1550000
Better Than Ezra,21500000
Tonic,140000000
New Radicals,37900000
The Presidents Of The United States Of America,99800000
Sugar Ray,185000000
Toad The Wet Sprocket,849000
Harvey Danger,21600000
James,3070000000
Live,12550000000
Lit,704000000
Spacehog,298000
Duncan Sheik,1250000
Fastball,8040000
Vertical Horizon,125000000
Paul Westerberg,3540000
blink-182,36700000
Blind Melon,9440000
Jamiroquai,9810000
The Flys,18500000
Feeder,198000000
U2,205000000
4 Non Blondes,60600000
Fuel,1930000000
OMC,57000000
Tal Bachman,703000
Soul Asylum,28200000
Supergrass,1110000
The Verve,41100000
No Doubt,487000000
Jesus Jones,154000000
Evan And Jaron,729000
Barenaked Ladies,6470000
Marcy Playground,1950000
Rusted Root,2420000
Belly,371000000
Oleander,18500000
INXS,9970000
O.A.R.,93300000
R.E.M.,252000000
EMF,23100000
Stroke 9,375000000
Wheatus,575000
The Offspring,66900000
Smash Mouth,56300000
Nine Days,692000000
Del Amitri,1390000
Blessid Union Of Souls,172000
Eve 6,716000000
Violent Femmes,28900000
The Breeders,37600000
The Goo Goo Dolls,22200000
The Lemonheads,1410000
Crash Test Dummies,9120000
Everclear,2620000
R.E.M.,252000000
Collective Soul,86400000
Blues Traveler,15100000
Shawn Mullins,5670000
Tom Petty,70000000
Sister Hazel,33700000
The Cranberries,47000000
Alanis Morissette,14500000
Deep Blue Something,1310000000
Dave Matthews Band,17500000
Dishwalla,396000
Our Lady Peace,324000000
The Cardigans,129000000
Garbage,235000000
The Verve Pipe,2410000
Bush,492000000
Cake,2020000000
The Mighty Mighty Bosstones,592000
Candlebox,1710000
Weezer,21700000
Sublime,185000000
Oasis,369000000
Sixpence None The Richer,1170000
Indigo Girls,84300000
Tom Cochrane,10500000
Mazzy Star,3630000
Deadeye Dick,934000
The Cure,448000000
Radiohead,27200000
Beck,224000000
The Flaming Lips,15300000
Ugly Kid Joe,62000000
Dog's Eye View,20700000
Marvelous 3,171000000
Citizen King,699000000
Primitive Radio Gods,3380000
Local H,5280000000
Nirvana,106000000
Oasis,369000000
Green Day,11930000000
The Cranberries,47000000
Lenny Kravitz,23600000
Smash Mouth,56300000
Nirvana,106000000
The Offspring,66900000
R.E.M.,252000000
Red Hot Chili Peppers,140000000
Blur,check
The Verve,41100000
Radiohead,27200000
Metallica,110000000
The Offspring,66900000
blink-182,36700000
No Doubt,487000000
Rage Against The Machine,46200000
Semisonic,575000
Beck,224000000
Oasis,369000000
Foo Fighters,49700000
The Smashing Pumpkins,15100000
Incubus,16300000
Guns N' Roses,87700000
Sublime,check
Soundgarden,13300000
Blind Melon,9440000
Pearl Jam,113000000
Third Eye Blind,93400000
Jeff Buckley,17100000
Supergrass,1110000
Weezer,21700000
Beastie Boys,14600000
The Smashing Pumpkins,15100000
Stone Temple Pilots,9870000
Placebo,59800000
The Presidents Of The United States Of America,99700000
Bush,488000000
Faith No More,863000000
Hole,1530000000
Nine Inch Nails,59800000
Cake,2020000000
Garbage,235000000
Skunk Anansie,1490000
Alice In Chains,74800000
Temple Of The Dog,261000000
Silverchair,7230000
The Breeders,37600000
Nada Surf,34200000
Dolly Parton,30500000
Jess Glynne,10700000
Eagle-Eye Cherry,22400000
Passenger,865000000
Fleetwood Mac,47600000
Mumford & Sons,29800000
The Coral,754000000
Ariana Grande,274000000
Jason Mraz,15000000
Adele,186000000
Joel Adams,81700000
Men At Work,4440000000
Lukas Graham,19900000
Rita Ora,120000000
Stevie Wonder,check
Kodaline,3680000
Elton John,85000000
Charlie Puth,26500000
Deep Blue Something,1310000000
Take That,7020000000
Dobie Gray,7490000
Daryl Hall & John Oates,24800000
George Ezra,36200000
P!nk,455000000
MKTO,886000
"Crosby, Stills, Nash & Young",5440000
Michael Bublé,110000
Birdy,27400000
The Kooks,5210000
Taylor Swift,336000000
You Me At Six,2510000000
JP Cooper,105000000
Noah And The Whale,12300000
Jess Glynne,10500000
Bruce Hornsby,4910000
Elle King,188000000
The Jackson 5,1180000000
Alanis Morissette,13400000
Gavin James,99000000
Bob Marley & The Wailers,99100000
Maggie Rogers,33000000
Josh Gray,357000000
Matthew Wilder,9250000
All Saints,305000000
"Earth, Wind & Fire",634000000
Jon Allen,119000000
Paloma Faith,18500000
The Real Thing,2440000000
The Black Eyed Peas,31800000
The Doobie Brothers,7080000
Causes,3730000000
Gabrielle,109000000
Tom Speight,1760000
John Mayer,137000000
Kylie Minogue,28700000
Sheryl Crow,15500000
Naya,92100000
Hudson Thames,21600000
Maroon 5,2780000000
Carrie Underwood,55200000
Noisettes,29200000
Wild Youth,326000000
Sixpence None The Richer,1170000
