Song,Release Year
Runaway Train,1993
Alright,1995
Bitter Sweet Symphony,1997
Don't Speak,1996
Right Here Right Now,1990
Crazy for This Girl,2000
One Week,1998
Sex & Candy,
Send Me On My Way,1995
Feed the Tree,1993
Why I'm Here,1999
Beautiful Girl,1993
That Was A Crazy Game of Poker,1997
Losing My Religion,1991
Unbelievable,1990
Little Black Backpack - Remastered,
Teenage Dirtbag,2000
Come Out and Play,1994
All Star,1999
Absolutely (Story of a Girl) - Radio Mix,2000
Roll To Me,1995
Hey Leonardo (She Likes Me For Me),1999
Inside Out,1998
Blister in the Sun - 2002 Remastered Version,2002
Cannonball,1993
Iris,1998
Into Your Arms,1993
Mmm Mmm Mmm Mmm,1993
Santa Monica,1995
It's The End Of The World As We Know It (And I Feel Fine),1987
Shine,1993
Run-Around,1995
Lullaby,1998
You Don't Know How It Feels,1994
All For You,1997
Linger,1993
Ironic,1996
Breakfast At Tiffany's,1995
Crash into Me,1996
Counting Blue Cars (Tell Me Your Thoughts On God),1996
One Man Army,1999
Lovefool - Radio Edit,1996
Stupid Girl,1996
The Freshmen,1997
Glycerine,1995
The Distance,1996
The Impression That I Get,1997
Far Behind,1993
Buddy Holly,1994
What I Got,
Wonderwall - Remastered,1995
Kiss Me,1998
Closer to Fine,1989
Life Is A Highway,1991
Fade Into You,1994
New Age Girl,1994
Friday I'm In Love,1992
High And Dry,1995
Loser,1993
She Don't Use Jelly,1993
Everything About You,1992
Everything Falls Apart,
Freak Of The Week,
Better Days (And The Bottom Drops Out),1999
Standing Outside a Broken Phone Booth with Money in My Hand,1996
Bound For The Floor,1996
Smells Like Teen Spirit,1991
Wonderwall - Remastered,1995
Basket Case,1994
Zombie,1994
Are You Gonna Go My Way,1993
All Star,1999
Come As You Are,1992
Self Esteem,1994
Losing My Religion,1991
Under The Bridge,1992
Song 2 - 2012 Remastered Version,2012
Bitter Sweet Symphony,1997
Creep,1992
Nothing Else Matters,1992
The Kids Aren't Alright,1999
All The Small Things,2000
Don't Speak,1996
Killing In The Name,1992
Closing Time,1998
Loser,1993
Don't Look Back In Anger - Remastered,1996
Everlong,1997
1979 - Remastered 2012,1979
Drive,2000
November Rain,1992
Santeria,1997
Black Hole Sun,1994
No Rain,1993
Alive,1991
Semi-Charmed Life,1997
Hallelujah,1984
Alright,1995
Say It Ain't So,1995
Sabotage,1994
Bullet With Butterfly Wings,1995
Interstate Love Song,1994
Every You Every Me,1999
Lump,1995
Glycerine - Remastered,1995
Epic,1990
Celebrity Skin,1998
Closer,1994
The Distance,1996
Stupid Girl,1996
Hedonism - Just Because You Feel Good,1997
Would?,1992
Hunger Strike - 25th Anniversary Mix,
Tomorrow - Remastered,1994
Cannonball,1993
Popular,
9 to 5,1980
All I Am,2018
Save Tonight,1997
Heart to Love,2018
Everywhere,1987
Guiding Light,
In the Morning,2005
breathin,2018
I'm Yours,2005
Send My Love (To Your New Lover),2016
Fake Friends,
Down Under,1981
Love Someone,2018
Let You Love Me,2018
Superstition - Single Version,1972
Head Held High,
Are You Ready For Love - '79 Version Radio Edit,1979
The Way I Am,2018
Breakfast At Tiffany's,1995
Out Of Our Heads,2018
Drift Away - Single Version,
You Make My Dreams,1980
Shotgun,2018
Who Knew,2006
How Can I Forget,
Our House,1970
Love You Anymore,2018
Keeping Your Head Up,2016
Four Leaf Clover - Edit,
22,2013
Back Again,
All This Love,
L.I.F.E.G.O.E.S.O.N.,2011
Thursday,2018
The Way It Is,1986
Little Bit Of Lovin',
I Want You Back,1969
Hand In My Pocket - 2015 Remastered,2015
Glow,
Three Little Birds,1980
Light On,
Cut Loose,
Break My Stride,1983
After All,2018
September,1978
Keep On Walking,
Loyal,
You To Me Are Everything,1976
BIG LOVE,
Long Train Runnin',1973
Run To Me,
Dreams,1993
Want You,
Waiting On the World to Change,2006
A Lifetime to Repair - Edit,2018
Everyday Is A Winding Road,1996
Coming Back to You,
Last Call,
Payphone,2012
Love Wins,2018
Never Forget You,2009
Can't Move On,
Kiss Me,
Easy,
Dance,
Everybody's Changing,2003
On My Own,
Never Know,
How Long Will This Last? - Single Mix,
Make You Smile,
Smile,2006
Woman Of The World,2018
Love Is You,
Rock the Boat,1974
Polaroid,2018
If You Wanna Love Somebody - Single Version,
Sidestep,
Perfect,
Do You Wanna Party,2018
Moves (feat. Snoop Dogg),2018
ZEZE (feat. Travis Scott & Offset),2018
6 Figures,
PASS OUT (feat. 21 Savage),2018
"Never Recover (Lil Baby & Gunna, Drake)",
REEL IT IN,
Best Years,
Mo Bamba,2017
Killshot,2018
Blessings,
Mona Lisa (feat. Kendrick Lamar),2018
I Love It (& Lil Pump),2018
Falling Down,2018
ICONIC (ft. Jaden Smith),2018
FLIP THE SWITCH (feat. Drake),
Transformer (feat. Nicki Minaj),
Dip,2018
STOOPID,
YOSEMITE,2018
Showoff,
"If I'm Lyin, I'm Flyin",2018
No Stylist,2018
Noticed,
Wake Up in the Sky,2018
Let It Fly (feat. Travis Scott),2018
Leave Me Alone,2018
Bandit,
Drip Too Hard,2018
Multi Millionaire (feat. Lil Uzi Vert),2018
Praise The Lord (Da Shine),2018
Backin' It Up (feat. Cardi B),2018
High (feat. Elton John),2018
SICKO MODE,2018
Lucky You (feat. Joyner Lucas),2018
Praise,
Barbie Dreams,2018
New Patek,
Can’t Take A Joke,2018
GOKU,
NO TIME,
FEFE (feat. Nicki Minaj & Murda Beatz),2018
KICK (feat. 6ix9ine),
151 Rum,
Dedicate,
The Code,
Neighbor (feat. Travis Scott),
No Sofas,
Runner,
Not Alike (feat. Royce Da 5'9),2018
Caution,2018
Fuego,
Y cómo es él?,1982
El Triste,1970
Besame Mucho,
No Me Platiques Mas,
Payaso,
La Gata Bajo la Lluvia,1981
El Día Que Me Quieras,1994
Abrázame Muy Fuerte,2000
Gracias a la Vida,2010
Inocente Pobre Amiga,
De Niña a Mujer,1981
"Grande, Grande, Grande",
Escándalo,
¿Quieres Ser Mi Amante?,
Secreto De Amor,
Porque Yo Te Amo,
Cien años,
Nuestro Juramento,
El Loco,
Sabor a Mí,
Si Tu No Bailas Conmigo,2007
El Gato Que Está Triste y Azul - Un Gato Nel Blu,
Beso A Beso... Dulcemente,
Asi Fue,
Volver a los Diecisiete,
Olvídame y Pega la Vuelta,1984
Me Dediqué a Perderte,2004
Sin Ti,
El Reloj,
Rondando Tu Esquina,
Historia de un Amor,
Te Odio y Te Quiero,
Dueño de Nada,
Mujeres Divinas,
Bachata Rosa,2013
Alicia Adorada,
Por Debajo De La Mesa,1997
Mi gran noche,
Amigo,
Vivir Así Es Morir de Amor,
Procuro Olvidarte,1980
Corazón mágico,
Eres Tú,2015
Detalles (Detalhes),
Chan Chan,1997
La Media Vuelta,1994
La Maza,
¿Dónde Estabas Tú?,
Amor Eterno,
No Sé Tú,
Me Olvide De Vivir,
Bella Señora,
Con los Pies Sobre la Tierra,
Mediterraneo,
My Way,1988
Me llamas,
"Quizas, Quizas, Quizas,",
Reminiscencias,
Jurame,1997
Bruca Manigua,1937
El Amar y el Querer,
Insoportablemente Bella,
Dos Gardenias,1997
La Barca,1991
Guajira Guantanamera,1929
Que Bueno Baila Usted,
Sombras - Versión Trío,
Nada Personal,
Fallaste corazon,
Contigo Aprendí,
El Noa Noa,
Solamente Una Vez,
Hasta Que Te Conocí,1986
Cuando Vuelva a Tu Lado,1959
Me Gustas,
"Azucar, Azucar",
Contigo En La Distancia,
Media Vuelta,
Las mañanitas,
Noche de Ronda,
Querida,
Eso Y Mas,
Stay With Me - Live From Spotify Berlin,
Candle In The Wind - 2018 Version,2018
Blank Space/Stand By Me - Live From Spotify London,
Can’t Help Falling in Love,
Come As You Are,1992
Every Breath You Take (feat. Liza Anne),
Summertime Sadness (Acoustic Cover) Feat. Keelan Donovan,
Stolen Dance,2012
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",2007
I Was Made for Loving You / Please Don't Say You Love Me,
Little Talks,
Rather Be,
Fast Car (feat. Tall Heights),1988
Halo,
Send My Love (To Your New Lover) - Live,2016
"I'm Not The Only One (Sam Smith Cover) - Live From Spotify, London",
Crazy - Radio 1 Live Lounge Session,2006
Cherry Wine,2016
Drag Me Down/As Long As You Love Me,
Wildflowers,
Don't You Want Me,1981
Set Fire To The Rain,1986
Jolene - Live,
Home/Dirty Paws,
Better Together,
Riptide,2013
We Can't Stop (feat. Bea Miller),
Time After Time,
Perfect Places - Live From BBC Radio 2,
K.,
Billie Jean,
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",
Crazy in Love,
California,
Eventually,
When Doves Cry - Recorded At Spotify Studios NYC,
Sorry,
I Believe in a Thing Called Love,2003
My Love / Hotline Bling,
I Like Me Better,
Chains,
Love Will Tear Us Apart,1980
Titanium,
Ordinary World,1992
Chandelier,
Let It Go,
Dancing in the Dark,1984
Linger,
What I Am - Recorded at Spotify Studios NYC,
Still Got Time / There's Nothing Holdin' Me Back,
I Can't Make You Love Me,1991
XO,2013
Despacito,
Wrecking Ball,
Black Beatles - Acoustic,2016
Hello,
Seven Nation Army,
Strangers,1970
U Remind Me - Recorded at Spotify Studios NYC,
September - Recorded at The Tracking Room Nashville,
Let Me Love You - Recorded at Spotify Studios NYC,
"Love Yourself, Out of the Woods, Roses - Acoustic Mashup",
American Oxygen,2015
Boom Clap,
Sex On Fire,
Mr. Brightside,
Stitches,
Teenage Dirtbag,2000
Can't Stop the Feeling / This Is What You Came For,2011
7 Years,
Cold Water,2016
"I Took a Pill in Ibiza, Youth (Acoustic Mashup) [feat. Taylor Leigh]",
Fix You,2005
Want to Want Me - Acoustic Cover,
"Wicked Game - Live At Killkenny Arts Festival, Ireland/2011",2011
City of Stars,
Take Me To Church (Acoustic Cover) feat. Matt Wright,
Ho Hey,2012
Hey Ya - solo version,
Maps,
Fancy,
Girls Just Wanna Have Fun - Acoustic,
What Do You Mean / Where Are Ü Now (Acoustic Mashup) [feat. Kaya May],
Stayin Out All Night/Habits (Acoustic Mashup),
Why Georgia (RAWsession) [in the style of John Mayer] - Single,
This Must Be the Place (Naive Melody) [by Talking Heads],1983
Sign of the Times [Acoustic Cover] - Acoustic,
Pompeii,
Taylor Swift 1989 Medley,1989
Shake It Off,2014
Hide Away - Acoustic Version,
Wild World - Acoustic Version,
Steal My Girl,
I Kissed A Girl,
Out of the Woods (Acoustic) [feat. Jake Coco],
Dancing In The Moonlight (It's Caught Me In Its Spotlight) - Recorded At Spotify Studios NYC,1977
How's It Going to Be,
Sweet Child O' Mine,
Palace - Cover,
"Stand by Me - Recorded at RAK Studios, London",
Perfect Duet (Ed Sheeran & Beyoncé),2017
Shallow,2018
Ophelia,2016
Can’t Help Falling in Love,
Beyond,
Latch - Acoustic,2012
Shrike,
Big Jet Plane,2010
When You Love Someone - Acoustic,2016
Slow Dancing in a Burning Room - Acoustic,2006
Georgia,2015
Send My Love (To Your New Lover),2016
Wild Love - Acoustic,2018
Foreign Hands,
Smoke Filled Room - Acoustic Session,
Wild Horses - Acoustic,
September Song - Guitar Acoustic,2016
Lost On You,
Hold My Girl,2018
Castle on the Hill - Acoustic,2017
After Rain,
Such A Simple Thing,
You Sigh,
Chemicals - Acoustic,2018
Morning Breeze,
Happier - Acoustic,2018
Melt (Acoustic Version),
My Arms Were Always Around You,
Lay It On Me - Acoustic,
Little Boy,
Never in My Wildest Dreams,2017
New Rules - Acoustic,2017
hate u love u,2016
Dream - Acoustic,
Only Love,2012
"Take Me To Church - Live From Spotify, London",2013
For Now,
Cherry Wine - Live,2016
Honest,
Honey,
The Woods - Acoustic,
Waves - Acoustic,2016
Tee Shirt,
Hell Or High Water,
Paper Thin - Live From Studio,
Moving Mountains,2016
Another Way,
Concrete Jungle - Acoustic,
Where's My Love,
Adore - Piano Unplugged,2016
Hollow (Acoustic),
Jungle,
Elastic Heart - Live from The Village,2013
Most Girls - Acoustic,2017
Sleep On The Floor,2016
little light - acoustic version,
I Will Spend My Whole Life Loving You,
Best Days - Acoustic,
Love on the Weekend,2016
Acoustic,
Catie Rae,
Issues - Acoustic,2017
Shape of You - Acoustic,2017
All I Want,2013
Boston,
"Girl Crush - Recorded at Metropolis Studios, London",2014
Save My Life - Radio Edit,
No Place In Mind,
Tell Me - Acoustic,
Let It Go - James Bay Spotify Session 2015,2015
Cringe - Stripped,
Can't See Straight - Acoustic,
Young Blood - Acoustic,
Better,
Don't Be A Fool - MTV Unplugged,2017
The Other (Stripped),
Love Me Like I'm Gone.,
Call You Home,
Anaheim,
"For Me, For Her, For You",
Yellow Bird,
Make Me (Cry) - Acoustic Version,2016
Louise,
Magnetised - Acoustic,
California Numb - Acoustic,
Ghost - Live From Spotify NYC,
On the Run,
Rather Be with You - Acoustic,2016
This Town,2016
Falling,
Rusty,
FourFiveSeconds,2015
Ol' Sweet Day,
Miles Away,
Burning House,2015
Love And Happiness,
Reasons - Acoustic,2016
Life Is Confusing,
Already Gone - Acoustic,
Before You,
Riptide,2013
Take Me to Church,
Ho Hey,2012
The A Team,2011
Let Her Go,2012
Budapest,
How to Save a Life,2006
FourFiveSeconds,2015
Under The Bridge,1992
Photograph,2015
Halo,2009
Crazy,2006
Only Love,2012
Rude (Acoustic),2014
Chasing Cars,2006
I'm Yours,2005
Lover Of The Light,2012
If I Were a Boy,2008
Breakeven,2008
Shine,
Bleeding Love,2007
Little Talks,
Drive,2000
Home,2010
Snow (Hey Oh),2006
Yellow,2000
Wake Me Up When September Ends,2005
"Dog Days Are Over - MTV Unplugged, 2012",2012
Shape of You - Acoustic,2017
No One - Acoustic,2007
Let It Go - James Bay Spotify Session 2015,2015
I Don't Want to Be - Stripped Version,2004
Slow Dancing in a Burning Room,2006
The Cave,2010
Boston,2005
Thinking Out Loud,2014
Collide - Acoustic Version,2004
Come On Get Higher,2008
You And Me,2005
You're Beautiful,2005
Somewhere Only We Know,2004
Over My Head (Cable Car),2005
Wherever You Will Go,2001
She Will Be Loved - Acoustic,2004
Trouble,2000
Your Body Is a Wonderland,2002
The Blower's Daughter,2002
I Will Wait,2012
Better Together,2006
Lucky,2009
Immortalized,2015
Come And Get It,
Drop Dead Cynical,
Blood,2018
When Legends Rise,2018
The Reckoning,2018
Black Wedding (feat. Rob Halford),2017
Sham Pain,
Here Comes The Boom,
MANTRA,
Alone In A Room,2017
Prey,2018
1234,
Chaos And Earthquakes,2018
Dumptruck,
Sleep Walking Elite,2018
Who Do You Trust?,
Hereafter,
The Devil's Bleeding Crown,2016
All or Nothing,
Animal,
Are You Ready,2018
Monster,
Do You Really Want It,2017
Calm Before the Storm,
Rainier Fog,2018
The Remedy,
Bad Listener,
Over It,
Walk,1993
Infra-Red,2018
Risen,
Torn in Two,2018
DEVIL,2018
Rats,2018
Broken Heart,2018
Uncomfortable,2018
Instincts,
Broken,
Breaking Skin,
1000hp,2014
That's My Jam,
Wash It All Away,2015
Absolute Zero,2012
The Void,
Hardwired,2016
Shadows Inside,
Hate Me,
Halo,2001
X,
On My Teeth,
Waking Lions,2017
Judas,2017
Loneshark,
Raise Your Horns,2016
Remember We Die,
TriggerPulse,
Don't Need You - Edit,
Psychosocial,2008
Looking Down the Barrel of Today,2016
Paranoia,2016
God Damn,2016
Vice Grip,
Let It Burn,
The End,
Happy Song,2015
Fever,
Master Groove,
Energy (Stay Far Away),2018
KANA,
Fake Love (feat. Duncan Mighty & WizKid),
"Soco (feat. Wizkid, Ceeza Milli, Spotless & Terri)",
Nowo,
Ma Lo,2011
Manya,
"My Love (feat. Major Lazer, WizKid, Dua Lipa)",2017
Come Closer,2017
Wine to the Top,
Daddy Yo,
One Dance,2016
Soweto Baby (feat. Wizkid & DJ Buckz),
Final (Baba Nla),
Bend Down Pause,
Ojuelegba,
In My Bed,2014
Show You the Money,2014
On Top Your Matter,
Ginger (feat. Wizkid),
Pullover (feat. Wiz-Kid),
Jaiye Jaiye (feat. Femi Kuti),2013
Caro (feat. Lax),2013
Slow Down (feat. Wiz Kid),
The Matter (feat. Wizkid),
Dance for Me,
Pakurumo,2011
Love My Baby,
Tease Me / Bad Guys,2011
Loyal,
Fakaza,
Monini,
Midnight Starring,
Hurtin' Me - The Remix,2018
Suited (SynX Remix)[feat. Mr Eazi] (feat. Synx & Mr Eazi),
Make Wild,
Ma Lo,2011
Issa Goal,
Legbegbe,
Daddy Yo,
Pana,
Drogba (Joanna),
Skelewu,2013
Tied Up,
Orkant/Balance Pon It,
All My Life,
Particula,2017
"My Woman, My Everything (feat. Wandecoal)",
Spy Candy,
Makhe,
AKWAABA,
Love You Die (feat. Diamond Platnumz),
Jezebel (Main Mix) (feat. Oskido),
Said (Coke Studio Africa),
Wololo,
Property,
Rock Your Body,
Shake Body,
Ay mama,
Confession,
Leg Over,
Been Calling,
Science Student,
Million Pound Girl (Badder Than Bad) - Edit,2013
Sunrise,
Tonight,
Take Over,
Maga 2 Mugu,
Prayer,
Mama,
Baba,
Club Controller,
CCTV,
Trobul,
Fantasy,
Wine to the Top,
Anticipation,
Shakara (Oloje),1972
Best Life,
079ME,
KANA,
Assurance,
One Leg Up,
Labyrinth,
If,
Sgicha (feat. HHP),
Zombie,1976
Despacito x Shape Of You,
Party In The U.S.A.,
Waka Waka,
Somebody That I Used to Know,2011
Attention,
I'm Yours / Somewhere Over The Rainbow,2010
"Kennedy Center Performance - From ""Pitch Perfect 2"" Soundtrack",
Send My Love (To Your New Lover),2011
Chandelier,
"Any Way You Want It (World Championship Medley) - From ""Pitch Perfect 2"" Soundtrack",2015
"We Belong - From ""Pitch Perfect 2"" Soundtrack",
I Knew You Were Trouble,2012
"Back To Basics - From ""Pitch Perfect 2"" Soundtrack",
Daft Punk,
"Riff Off - From ""Pitch Perfect 2"" Soundtrack",
Feelin' It,
Stars,
Don't Stop Believin' (Glee Cast Version),1981
Riff Off: Mickey/Like A Virgin/Hit Me With Your Best Shot/S&M/Lets Talk About Sex/Ill Make Love To You/Feels Like The First Time/No Diggity,
Can't Hold Us,2011
Cups - Movie Version,2011
I See Fire,2013
Problem,
"Hey, Soul Sister",2009
Trebles Finals: Bright Lights Bigger City/Magic,
Remix to Ignition,
Text Me Merry Christmas (feat. Kristen Bell),
Wake Me Up,
Come Sail Away,
Right Round,2009
Rhythm Of Love / Can't Help Falling In Love,
Radioactive,
